Sparky Lyle,Cy Young Award,,AL,lylesp01,1977,AL,2.17,137.0,131,7,33,68,6,10,2,554,41,0,0
Bruce Sutter,Cy Young Award,,NL,suttebr01,1979,NL,2.22,101.3,67,3,32,110,5,9,0,403,29,0,0
Rollie Fingers,Cy Young Award,,AL,fingero01,1981,AL,1.04,78.0,55,3,13,61,5,1,1,297,9,0,0
Rick Sutcliffe,Cy Young Award,,NL,sutclri01,1984,AL,5.15,94.3,111,7,46,58,3,3,2,428,60,0,0
Rick Sutcliffe,Cy Young Award,,NL,sutclri01,1984,NL,2.69,150.3,123,9,39,155,0,3,1,602,53,0,0
Willie Hernandez,Cy Young Award,,AL,hernawi01,1984,AL,1.92,140.3,96,6,36,112,8,2,4,548,30,0,0
Steve Bedrosian,Cy Young Award,,NL,bedrost01,1987,NL,2.83,89.0,79,11,28,74,5,3,1,366,31,0,0
Mark Davis,Cy Young Award,,NL,davisma01,1989,NL,1.85,92.7,66,6,31,92,1,8,2,370,21,0,0
Dennis Eckersley,Cy Young Award,,AL,eckerde01,1992,AL,1.91,80.0,62,5,11,93,6,0,1,309,17,0,0
Eric Gagne,Cy Young Award,,NL,gagneer01,2003,NL,1.20,82.3,37,2,20,137,2,2,3,306,12,4,0
